Date,Product Name,ASIN,Amazon URL,Cost Price,Sell Price,Net Profit,ROI,Total Fees,Estimated SPM,Sales Rank,FBA Sellers,Supplier URL,Checkout Cost,Recommended Checkout Quantity,Promo Codes,IP Alert,Autoship,PR Assistant,Notes
2024-11-21,"FUJIFILM Mini Instant Camera Film: 60 Shoots Total, Value Pack, (10 Sheets x 6) - Capture Memories Anytime, Anywhere - Includes Puflax UFO Sticker",B0CNKTXGZV,https://www.amazon.com/dp/B0CNKTXGZV,$37.99,$84.99,$29.64,78.02%,$17.36,> 500,6807,1,https://www.target.com/p/fujifilm-instax-mini-instant-film-value-pack-60ct/-/A-52205707?ref=tgt_adv_xsf&AFID=google&CPNG=Electronics&adgroup=56-10&gQT=2,$379.90,10,,No,No,Lorelie,https://prnt.sc/d9sE6jCBT_7j
2024-11-21,Avon Solutions Nurtura Replenishing Cream Lot of 4,B00HS5MAYY,https://www.amazon.com/dp/B00HS5MAYY,$25.57,$52.49,$13.97,54.63%,$12.95,> 100,"34,709",2,https://www.avon.com/product/nurtura-replenishing-cream-31556?rep=nholguin,$127.85,5,Code: WPTV20,No,No,Sir Kim,https://snipboard.io/nwad3X.jpg
2024-11-21,"Klymit Drift Camping Pillow, Shredded Memory Foam Travel Pillow with Reversible Cover for Outdoor Use, Orange, Large",B081ZZZYYM,https://www.amazon.com/dp/B081ZZZYYM,$22.99,$54.99,$13.47,58.59%,$18.53,> 162,"52,469",2,https://www.campmor.com/products/drift%E2%84%A2-camp-pillows-by-klymit?variant=44634315161761,$229.90,10,,No,No,Sir Kim,https://snipboard.io/NjA7KC.jpg
2024-11-21,"MRS. MEYER'S CLEAN DAY Liquid Hand Soap Mum, 12.5 Fl Oz. (Pack of 3)",B0BWSJK9DC,https://www.amazon.com/dp/B0BWSJK9DC,$11.47,$28.99,$5.30,46.21%,$12.22,> 50,"115,712",0,https://www.mrsmeyers.com/product/hand-care/hand-soap/liquid-hand-soap-mum/?gad_source=1&gclid=Cj0KCQiA0fu5BhDQARIsAMXUBOLxvMPCoKN6DVE2aRAvqpsTLb8r0xoGnU8b-6Ukeq4qPcFTCIyqWDMaArdeEALw_wcB,$114.70,10,Code: FRESH10,No,No,Sir Kim,https://snipboard.io/H6Fxo0.jpg
2024-11-21,"Zest Aqua Bar Soap 4 Ounce, 8 Bar Pack (Pack of 2) 16 Bars Total",B011SBNYCU,https://www.amazon.com/dp/B011SBNYCU,$7.90,$20.78,$3.62,45.82%,$9.26,> 600,"21,155",6,https://www.walgreens.com/store/c/zest-bar-soap-aqua/ID=prod6113961-product?ext=gooFY23_GOO_RET_RETAILDEMANDGEN_Performance%2BMax%2B-%2BBeauty_REV_SRC_PMAX_PMAX_NA_PMAX_ENG__pla_online&gclsrc=aw.ds&gclsrc=aw.ds&gad_source=1&gclid=CjwKCAiArva5BhBiEiwA-oTnXQZUiSWpCYSoOkpEf6EMR8XTzBIWTWfyorcyAFHnTMreNF65uWfMpRoCzHAQAvD_BwE,$47.39,12,SAVE20,No,No,Dixie,https://snipboard.io/L1VvE4.jpg
2024-11-21,Feeling Fresh Roll OnDeodorant,B00AW7FDV2,https://www.amazon.com/dp/B00AW7FDV2,$6.92,$27.99,$8.41,121.53%,$12.66,> 300,"72,663",0,https://www.perfumepur.com/products/avon-feelin-fresh-by-avon-for-women?variant=44519740768500&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gclid=CjwKCAiArva5BhBiEiwA-oTnXW5Dyp_dgHmpLR5zF3Oamwk0eY4_Uze67OocCWAx1bPTUNCxkNIV7RoCRqsQAvD_BwE,$173.00,25,,No,No,Sir Kim,https://snipboard.io/fXbOLF.jpg
2024-11-21,"MILK Makeup KUSH Volumizing Mascara - Vegan, Clean, Cruelty-free - Fuller, Healthier Lashes - 0.34 Fl Oz",B07CHXMZN9,https://www.amazon.com/dp/B07CHXMZN9,$15.00,$38.99,$14.19,94.60%,$9.80,> 100,52969,9,https://www.sephora.com/product/kush-mascara-P429903?skuId=2827616,$150.00,10,,No,No,Sir Kim,https://snipboard.io/JwqxPH.jpg
2024-11-21,Stanley Classic Legendary Food Jar 0.4L with Spork - Keeps Cold or Hot For 7 Hours - BPA-Free Stainless Steel Soup Flask - Leakproof - Dishwasher Safe - Hammertone Green,B08BCS1R66,https://www.amazon.com/dp/B08BCS1R66,$28.00,$58.00,$16.23,57.96%,$13.77,> 127,"201,931",5,https://www.llbean.com/llb/shop/3901?itemId=512771&attrValue_0=Hammertone%20Green&sku=1000067498&pla1=0&qs=3151648&gad_source=1&gclid=Cj0KCQiA0fu5BhDQARIsAMXUBOKUAzElf-uqJMdkhuOpJ3cKcLemmYsd9P2WuIQz19zJ2VOjvUGVTlMaAuaUEALw_wcB&gclsrc=aw.ds&SN=PDPImageGallery_04&SS=A&SN2=sosb_test_04&SS2=B&SN3=MobilePLA_03&SS3=B&noaa_region=ohiovalley&originalProduct=124981,$280.00,10,,No,No,Sir Kim,https://snipboard.io/bfqx2w.jpg
2024-11-21,"CHI for Dogs Shed Control Shampoo for Dogs, 16 Ounces | Best Anti-Shed Dog Shampoo | Sulfate and Paraben Free, pH Balanced for Dogs, Made in USA",B079KTRBDT,https://www.amazon.com/dp/B079KTRBDT,$12.98,$28.20,$5.35,41.22%,$9.87,> 100,"17,199",8,https://www.chewy.com/chi-oatmeal-dog-shampoo/dp/186521,$155.76,12,"Buy 3, get 4th free- mix & match / Code: OLIVER10",No,No,Sir Kim,https://snipboard.io/T0kXxH.jpg
2024-11-21,"MRS. MEYER'S CLEAN DAY Liquid Dish Soap 3 Pack Variety, Acorn Spice, Apple Cider, Fall Leaves, 16 OZ Each, 1 CT",B0DCL89KHY,https://www.amazon.com/dp/B0DCL89KHY,$11.47,$30.98,$6.19,53.97%,$13.32,> 100,"105,775",2,"https://www.mrsmeyers.com/product/liquid-dish-soap-apple-cider/
https://www.mrsmeyers.com/product/dish/dish-soap/liquid-dish-soap-acorn-spice/
https://www.mrsmeyers.com/product/dish/dish-soap/liquid-dish-soap-fall-leaves/",$114.70,10,Code: FRESH10,No,No,Sir Kim,https://snipboard.io/FZDg4x.jpg
